ID,Word,Syllables
728,accurate,3
729,accurately,4
730,accurateness,4
731,accuracy,4
732,accusation,4
733,accusative,4
734,accusatively,5
735,accusatival,5
736,accusatorial,6
737,accusatorially,7
738,accusatory,5
739,Accutron,3
740,acerate,3
741,acerbate,3
742,acerbated,4
743,acerbating,4
744,acerdol,3
745,acerose,3
746,acerous,3
747,acetaldehyde,5
748,acetamid,4
749,acetamide,4
750,acetanilid,5
751,acetanilide,5
752,acetanisidine,6
753,acetazolamide,6
754,acesodynous,5
755,acetabular,5
756,acetabuliform,6
757,acetabulum,5
758,acetal,3
759,acetaldol,4
760,acetate,3
761,acetate rayon,5
762,acetated,4
763,acetation,4
764,acetimeter,5
765,acetimetry,5
766,acetin,3
767,acetimetric,5
768,acetometer,5
769,acetometry,5
770,acetone,3
771,acetone body,5
772,acetonic,4
773,acetose,3
774,acetous,3
775,acetometrical,6
776,acetometrically,7
777,acetonitrile,5
778,acetophenetidin,7
779,acetophenetidine,7
780,acetophenone,5
781,acetostearin,6
782,acetyl,3
783,acetylcholine,5
784,acetylic,4
785,acetylsalicylic acid,9
786,acid,2
787,acid drop,3
788,acid rock,3
789,acid soil,3
790,acid test,3
791,acid value,4
792,acid-fast,3
793,acid-fastness,4
794,acid-forming,4
795,acid-head,3
796,acidize,3
797,acidized,3
798,acidizing,4
799,acidly,3
800,acidness,3
801,acidy,3
802,acing,2
803,Acidalium,5
804,Acidanthera,5
805,acidemia,5
806,acidimeter,5
807,acidimetry,5
808,acidimetric,5
809,acidimetrically,7
810,acidolysis,5
811,acidometer,5
812,acidophilus,5
813,acidophilus milk,6
814,acidotic,4
815,acidogenic,5
816,acidophil,4
817,acidophile,4
818,acidophilic,5
819,acidosis,4
820,aciduric,4
821,acierate,4
822,acierated,5
823,acierating,5
824,acieration,5
825,aciform,3
826,acinaciform,5
827,acinarious,5
828,acinaceous,4
829,acinose,3
830,acinous,3
831,acinus,3
832,acknowledge,3
833,acknowledged,3
834,acknowledgedly,4
835,acknowledgeable,5
836,acknowledgement,4
837,acknowledger,4
838,acknowledging,4
839,acknowledgment,4
840,aclaurin,3
841,acle,2
842,acmaesthesia,4
843,acme,2
844,acmesthesia,4
845,acmic,2
846,acmite,2
847,Acmon,2
848,acne,2
849,acnemia,4
850,acnode,2
851,acnodal,3
852,Acol,2
853,acoustician,4
854,acoasm,3
855,acocotl,3
856,acolyte,3
857,aconite,3
858,aconitic,4
859,aconitum,4
860,acquaint,2
861,acquaintance,3
862,acquaintanceship,4
863,acquainted,3
864,acquaintedness,4
865,acquest,2
866,acquire,2
867,acquired,2
868,acquired characteristic,7
869,acquired taste,3
870,acquirement,3
871,acquirability,6
872,acquirable,4
873,acquirer,3
874,acquiring,3
875,acquisitive,4
876,acquisitively,5
877,acquisitiveness,5
878,acquit,2
879,acquittal,3
880,acquittance,3
881,acquitted,3
882,acquitter,3
883,acquitting,3
884,acquiesce,3
885,acquiescingly,5
886,acquiescence,4
887,acquiescent,4
888,acquiescently,5
889,acquisition,4
890,acrid,2
891,acridly,3
892,acridine,3
893,acriflavine,4
894,acriflavine hydrochloride,8
895,Acrilan,3
896,acrimonious,5
897,acrimoniously,6
898,acrimoniousness,6
899,acrimony,4
900,acron,2
901,acrobat,3
902,acrobatic,4
903,acrobatics,4
904,acrobatism,4
905,acrobatical,5
906,acrobatically,6
907,acrocarpous,4
908,acrocephalous,5
909,acrocephaly,5
910,acrocephalic,5
911,acrocephalia,5
912,Acrocorinth,4
913,acrocyanosis,6
914,acrodont,3
915,acrodontism,4
916,acrodrome,3
917,acrodynia,5
918,acrogen,3
919,acrogenic,4
920,acrolith,3
921,acrolithic,4
922,acrologic,4
923,acrologically,6
924,acromegaly,5
925,acromegalic,5
926,acromicria,5
927,acronal,3
928,acronym,3
929,acronymic,4
930,acrophonic,4
931,acrophonically,6
932,acrophobia,5
933,acropolitan,5
934,acrospire,3
935,acrospore,3
936,acrosporous,4
937,acrostolia,5
938,acrostolium,5
939,acroter,3
940,acroteral,4
941,acroteria,5
942,acroterial,5
943,acroterion,5
944,acroterium,5
945,acrotism,3
946,acrylaldehyde,5
947,acrylyl,3
948,acrylate,3
949,acrylonitrile,5
950,acrylyl,3
951,Acta,2
952,Actaeon,3
953,actin,2
954,actinic,3
955,actinism,3
956,actinia,4
957,actiniae,4
958,actinian,4
959,actinically,5
960,actiniform,4
961,actinium,4
962,actinium series,6
963,actinochemistry,6
964,actinodrome,4
965,actinogram,4
966,actinograph,4
967,actinographic,5
968,actinolite,4
969,actinolitic,5
970,actinomycetous,6
971,actinopod,4
972,action,2
973,action painting,4
974,action potential,5
975,action replay,4
976,action stations,4
977,actionable,4
978,actionably,4
979,actionless,3
980,Actis,2
981,active,2
982,active duty,4
983,active list,3
984,active service,4
985,actively,3
986,activeness,3
987,activism,3
988,activist,3
989,activize,3
990,activized,3
991,activizing,4
992,activity,4
993,actinal,3
994,actinally,4
995,actinide,3
996,actinide series,5
997,actinodromous,5
998,actinography,5
999,actinoid,3
1000,actinology,5
1001,actinometer,5
1002,actinometry,5
1003,actinon,3
1004,actinopterygian,7
1005,actinobacillotic,7
1006,actinobacillosis,7
1007,actinobacilli,6
1008,actinobacillus,6
1009,actinochemistry,6
1010,actinochemical,6
1011,actinodermatitis,7
1012,actinomere,4
1013,actinometric,5
1014,actinomorphic,5
1015,actinomorphous,5
1016,actinomorphy,5
1017,actinomyces,5
1018,actinomycete,5
1019,actinomycin,5
1020,actinomycotic,6
1021,actinomycosis,6
1022,actinotherapy,6
1023,actinouranium,7
1024,actinozoan,5
1025,Actium,3
1026,activate,3
1027,activated,4
1028,activated alumina,8
1029,activated carbon,6
1030,activated sludge,5
1031,activating,4
1032,activation,4
1033,activator,4
1034,Acton,2
1035,acton,2
1036,Actor,2
1037,actor,2
1038,actor-proof,3
1039,Actoridae,4
1040,actomyosin,5
1041,actress,2
1042,actual,3
1043,actualise,4
1044,actualised,4
1045,actualism,4
1046,actualist,4
1047,actualising,5
1048,actualistic,5
1049,actualize,4
1050,actualized,4
1051,actualizing,5
1052,actuality,5
1053,actualization,6
1054,actually,4
1055,actualness,4
1056,actuary,3
1057,actuaries,4
1058,actuarial,5
1059,actuarially,6
1060,actuary,4
1061,actuate,3
1062,actuated,4
1063,actuating,4
1064,actuation,4
1065,actuator,4
1066,acuate,3
1067,acumen,3
1068,acupuncture,4
1069,acupunctured,4
1070,acupuncturing,5
1071,acusection,4
1072,acusector,4
1073,acyl,2
1074,acylate,3
1075,acylated,4
1076,acylating,4
1077,acylation,4
1078,ad hominem,4
1079,ad infinitum,5
1080,ad interim,4
1081,ad litem,3
1082,ad nauseam,4
1083,ad valorem,4
1084,ad-lib,2
1085,add,1
1086,addable,3
1087,added sixth,3
1088,addedly,3
1089,adder,2
1090,adding machine,4
1091,addible,3
1092,adj,1
1093,adjt,1
1094,adv,1
1095,advt,1
1096,adz,1
1097,adze,1
1098,adage,2
1099,Adalbert,3
1100,Adam,2
1101,Adam's apple,4
1102,Adam's-needle,4
1103,Adam-and-Eve,4
1104,Adams,2
1105,Adams-Stokes syndrome,5
1106,adamsite,3
1107,Adamic,3
1108,Adamite,3
1109,Adamitic,4
1110,adaptation,4
1111,adaptational,5
1112,adaptationally,6
1113,adaxial,4
1114,Adama,3
1115,adamant,3
1116,adamantine,4
1117,Adamas,3
1118,Adamawa,4
1119,Addams,2
1120,addax,2
1121,addend,2
1122,addendum,3
1123,adder,2
1124,adder's-meat,3
1125,adder's-mouth,3
1126,adder's-tongue,3
1127,addict,2
1128,addicted,3
1129,addictedness,4
1130,addiction,3
1131,addictive,3
1132,Addie,2
1133,Addington,3
1134,Addis Ababa,5
1135,additament,4
1136,additamentary,6
1137,Addison,3
1138,Addison's disease,5
1139,Addisonian,5
1140,addition,3
1141,additional,4
1142,additionally,5
1143,additive,3
1144,additively,4
1145,additory,4
1146,addle,2
1147,addlebrained,3
1148,addlepated,4
1149,addorsed,2
1150,address,2
1151,addressee,3
1152,addresser,3
1153,addressing,3
1154,addrest,2
1155,addressor,3
1156,Addressograph,4
1157,adduce,2
1158,adduced,2
1159,adduceable,4
1160,adduct,2
1161,adducer,3
1162,adducing,3
1163,adducible,4
1164,adduction,3
1165,adductive,3
1166,adductor,3
1167,adducent,3
1168,addy,2
1169,Adee,2
1170,Adelbert,3
1171,Adelheid,3
1172,adenological,6
1173,adept,2
1174,adessive,3
1175,Adelaide,3
1176,Adeline,3
1177,Adelina,4
1178,adenalgia,4
1179,adenectomy,5
1180,adenine,3
1181,adenitis,4
1182,adenoid,3
1183,adenoids,3
1184,adenoidectomy,6
1185,adenoidal,4
1186,adenology,5
1187,adenomatous,5
1188,adenocarcinomatous,8
1189,adenocarcinoma,7
1190,adenocarcinomas,7
1191,adenocarcinomata,8
1192,adenohypophysis,7
1193,adenoma,4
1194,adenomas,4
1195,adenomata,5
1196,adenophyllous,5
1197,adenosarcoma,6
1198,adenosarcomas,6
1199,adenosarcomata,7
1200,adenovirus,5
1201,adenoviruses,6
1202,adenylpyrophosphate,7
1203,adephagia,4
1204,adequate,3
1205,adequately,4
1206,adequateness,4
1207,adequacy,4
1208,adfreeze,2
1209,adfreezing,3
1210,adfroze,2
1211,adfrozen,3
1212,adhere,2
1213,adhered,2
1214,adherence,3
1215,adherend,3
1216,adherent,3
1217,adherently,4
1218,adherer,3
1219,adhering,3
1220,adhesion,3
1221,adhesional,4
1222,adhesive,3
1223,adhesively,4
1224,adhesiveness,4
1225,adhibit,3
1226,adhibition,4
1227,adit,2
1228,adiadochokinesia,8
1229,adiadochokinesis,8
1230,adiadokokinesia,8
1231,adiadokokinesis,8
1232,adiaphorism,5
1233,adiaphoretic,6
1234,adiaphoresis,6
1235,adiaphorist,5
1236,adiaphoristic,6
1237,adiaphorous,5
1238,adiabat,4
1239,adiabatic,5
1240,adiabatically,7
1241,adiathermancy,6
1242,adient,3
1243,adios,3
1244,adipate,3
1245,adipocerite,5
1246,adipocerous,5
1247,adipose,3
1248,adipose fin,4
1249,adiposeness,4
1250,adiposity,5
1251,adipocere,4
1252,adiponitrile,5
1253,adipopectic,5
1254,adipopexic,5
1255,adipopexis,5
1256,adipopexia,6
1257,Adirondack,4
1258,Adirondack Mountains,6
1259,Adirondacks,4
1260,adjacence,3
1261,adjacent,3
1262,adjacently,4
1263,adjacency,4
1264,adjective,3
1265,adjectively,3
1266,adjectival,4
1267,adjectivally,5
1268,adjoin,2
1269,adjoint,2
1270,adjoining,3
1271,adjourn,2
1272,adjournment,3
1273,adjudge,2
1274,adjudged,2
1275,adjudging,3
1276,adjunct,2
1277,adjunctly,3
1278,adjunction,3
1279,adjunctive,3
1280,adjunctively,4
1281,adjure,2
1282,adjured,2
1283,adjuratory,5
1284,adjurer,3
1285,adjuring,3
1286,adjust,2
1287,adjustable,4
1288,adjustable-pitch,5
1289,adjustably,4
1290,adjuster,3
1291,adjustment,3
1292,adjustmental,4
1293,adjustor,3
1294,adjudicate,4
1295,adjudicated,5
1296,adjudicating,5
1297,adjudication,5
1298,adjudicative,5
1299,adjudicator,5
1300,adjugate,3
1301,adjuration,4
1302,adjuror,3
1303,adjutant,3
1304,adjutant bird,4
1305,adjutant general,6
1306,adjutancy,4
1307,adjuvant,3
1308,Adlai,2
1309,Adler,2
1310,Adley,2
1311,Adlerian,4
1312,Admah,2
1313,adman,2
1314,admass,2
1315,admeasure,3
1316,admeasured,3
1317,admeasurement,4
1318,admeasurer,4
1319,admeasuring,4
1320,Admete,3
1321,Admetus,3
1322,admin,2
1323,administer,4
1324,administrant,4
1325,administrate,4
1326,administrated,5
1327,administrating,5
1328,administrable,5
1329,administration,5
1330,administrational,6
1331,administrative,5
1332,administratively,6
1333,administrator,5
1334,administratorship,6
1335,administratrix,5
1336,administratrices,6
1337,adminicle,4
1338,admire,2
1339,admired,2
1340,admirer,3
1341,admiring,3
1342,admiringly,4
1343,admission,3
1344,admissive,3
1345,admissibility,6
1346,admissible,4
1347,admissibleness,5
1348,admissibly,4
1349,admit,2
1350,admittance,3
1351,admittable,4
1352,admitted,3
1353,admittedly,4
1354,admitter,3
1355,admitting,3
1356,admittible,4
1357,admix,2
1358,admixture,3
1359,adminicular,5
1360,admiral,3
1361,Admiral,3
1362,admiralship,4
1363,admiralty,4
1364,Admiralty Board,5
1365,Admiralty House,5
1366,Admiralty Islands,6
1367,Admiralty mile,5
1368,Admiralty Range,5
1369,admirability,6
1370,admirable,4
1371,admirableness,5
1372,admirably,4
1373,admiration,4
1374,admirative,4
1375,admiratively,5
1376,admonish,3
1377,admonisher,4
1378,admonishingly,5
1379,admonishment,4
1380,admonitor,4
1381,admonitorial,6
1382,admonitorily,6
1383,admonitory,5
1384,admonition,4
1385,Adnah,2
1386,Adnan,2
1387,adnate,2
1388,adnation,3
1389,adnominal,4
1390,adnoun,2
1391,Adolf,2
1392,Adolph,2
1393,Adolphe,2
1394,adolescence,4
1395,adolescent,4
1396,adolescently,5
1397,Adonai,3
1398,Adonais,4
1399,Adonias,4
1400,Adonijah,4
1401,adoration,4
1402,Adrastea,4
1403,adrenergic,4
1404,adres,2
1405,adrenal,3
1406,adrenal gland,4
1407,adrenal insufficiency,8
1408,adrenalectomize,6
1409,adrenalectomized,6
1410,adrenalectomizing,7
1411,adrenalectomy,6
1412,adscititious,4
1413,adscititiously,5
1414,adscript,2
1415,adscription,3
1416,adsorb,2
1417,adsorbate,3
1418,adsorbability,6
1419,adsorbable,4
1420,adsorbent,3
1421,adsorption,3
1422,adsorptive,3
1423,adsorptively,4
1424,adsorbent,3
1425,adsum,2
1426,adsuki bean,4
1427,adumbral,3
1428,adumbrate,3
1429,adumbrated,4
1430,adumbrating,4
1431,adumbration,4
1432,adumbrative,4
1433,adumbratively,5
1434,adularia,5
1435,adulate,3
1436,adulated,4
1437,adulating,4
1438,adularescence,5
1439,adularescent,5
1440,adulation,4
1441,adulator,4
1442,adulatory,5
1443,Adurol,3
1444,Advaita,3
1445,advance,2
1446,advance guard,3
1447,advance poll,3
1448,advanced,2
1449,advanced gas-cooled reactor,7
1450,advancement,3
1451,advancer,3
1452,advances,3
1453,advancing,3
1454,advancingly,4
1455,advantage,3
1456,advantaged,3
1457,advantageous,4
1458,advantageously,5
1459,advantageousness,5
1460,advection,3
1461,advective,3
1462,Advent,2
1463,advent,2
1464,Advent Sunday,4
1465,Adventism,3
1466,Adventist,3
1467,adventive,3
1468,adventively,4
1469,adventitial,4
1470,adventitious,4
1471,adventitiously,5
1472,adventitiousness,5
1473,adventitia,5
1474,adventure,3
